,gaze_x,gaze_y
0,1055,298
1,1056,292
2,1055,289
3,1055,291
4,1056,285
5,1056,286
6,1059,282
7,1060,281
8,1060,274
9,1060,274
10,1059,271
11,1057,272
12,1055,276
13,1054,278
14,1053,277
15,1054,281
16,1054,285
17,1054,285
18,1055,286
19,1057,287
20,1056,285
21,1050,286
22,1047,292
23,1051,293
24,1050,300
25,1050,296
26,1053,294
27,1057,272
28,1057,263
29,1060,262
30,1061,271
31,1057,273
32,1056,280
33,1058,283
34,1055,278
35,1023,255
36,997,352
37,915,377
38,937,385
39,1031,278
40,1018,219
41,990,262
42,1033,289
43,1038,297
44,1041,297
45,1040,296
46,1041,299
47,1041,302
48,1044,303
49,1046,302
50,1049,296
51,1050,297
52,1051,295
53,1050,291
54,1047,293
55,1043,296
56,971,291
57,946,295
58,939,310
59,943,309
60,945,308
61,947,309
62,949,301
63,956,296
64,955,296
65,951,293
66,951,291
67,952,291
68,952,291
69,952,289
70,957,291
71,959,293
72,955,296
73,956,296
74,955,296
75,950,298
76,951,300
77,957,293
78,954,290
79,953,290
80,955,285
81,955,282
82,954,282
83,953,276
84,955,279
85,957,286
86,956,284
87,956,280
88,958,283
89,956,281
90,956,278
91,956,277
92,956,279
93,957,283
94,956,289
95,952,283
96,948,283
97,947,284
98,944,283
99,944,282
100,945,281
101,947,280
102,951,285
103,953,291
104,952,294
105,951,301
106,949,302
107,949,300
108,948,298
109,950,297
110,931,353
111,874,291
112,856,287
113,855,272
114,856,272
115,863,280
116,773,409
117,823,436
118,806,447
119,817,444
120,812,446
121,817,444
122,815,447
123,822,443
124,815,442
125,817,441
126,817,440
127,822,439
128,818,443
129,822,448
130,821,454
131,840,448
132,958,332
133,987,308
134,987,307
135,989,308
136,990,308
137,989,310
138,989,312
139,1053,299
140,1056,295
141,1061,289
142,1063,287
143,1062,290
144,1061,295
145,1059,297
146,1056,300
147,1047,310
148,1046,313
149,1041,312
150,1041,305
151,1042,301
152,985,301
153,961,300
154,958,301
155,955,297
156,957,298
157,958,299
158,957,294
159,959,292
160,962,294
161,963,296
162,964,295
163,966,297
164,968,296
165,971,298
166,969,294
167,969,293
168,968,294
169,965,293
170,962,288
171,962,289
172,961,286
173,961,285
174,963,286
175,966,287
176,970,286
177,970,286
178,969,285
179,967,286
180,964,290
181,960,292
182,962,296
183,963,297
