,0
0,Screen
1,Screen
2,Screen
3,Screen
4,Screen
5,Screen
6,Screen
7,Screen
8,Screen
9,Screen
10,Screen
11,Screen
12,Screen
13,Screen
14,Screen
15,Screen
16,Screen
17,Tablet
18,Screen
19,Screen
20,Screen
21,Screen
22,Screen
23,Screen
24,Screen
25,Screen
26,Screen
27,Tablet
28,Screen
29,Screen
30,Screen
31,Screen
32,Screen
33,Screen
34,Screen
35,Screen
36,Screen
37,Screen
38,Screen
39,Screen
40,Screen
41,Screen
42,Screen
43,Screen
44,Screen
45,Screen
46,Screen
47,Screen
48,Screen
49,Screen
50,Screen
51,Screen
52,Screen
53,Screen
54,Screen
55,Screen
56,Screen
57,Screen
58,Screen
59,Screen
60,Screen
61,Screen
62,Screen
63,Screen
64,Screen
65,Screen
66,Screen
67,Screen
68,Screen
69,Screen
70,Screen
71,Screen
72,Screen
73,Screen
74,Screen
75,Screen
76,Screen
77,Screen
78,Screen
79,Screen
80,Screen
81,Screen
82,Screen
83,Screen
84,Screen
85,Screen
86,Screen
87,Screen
88,Screen
89,Screen
90,Screen
91,Screen
92,Screen
93,Screen
94,Screen
95,Screen
96,Screen
97,Screen
98,Screen
99,Screen
100,Screen
101,Screen
102,Screen
103,Screen
104,Screen
105,Screen
106,Screen
107,Screen
108,Screen
109,Screen
110,Screen
111,Screen
112,Screen
113,Screen
114,Screen
115,Screen
116,Screen
117,Screen
118,Screen
119,Screen
120,Screen
121,Screen
122,Screen
123,Screen
124,Screen
125,Screen
126,Screen
127,Screen
128,Screen
129,Screen
130,Screen
131,Screen
132,Screen
133,Screen
134,Screen
135,Screen
136,Screen
137,Screen
138,Screen
139,Screen
140,Screen
141,Screen
142,Screen
143,Screen
144,Screen
145,Screen
146,Screen
147,Screen
148,Screen
149,Screen
150,Screen
151,Screen
152,Screen
153,Screen
154,Screen
155,Screen
156,Screen
157,Tablet
158,Tablet
159,Tablet
160,Tablet
161,Tablet
162,Tablet
163,Tablet
164,Tablet
165,Tablet
166,Tablet
167,Tablet
168,Tablet
169,Tablet
170,Tablet
171,Tablet
172,Tablet
173,Tablet
174,Screen
175,Screen
176,Screen
177,Screen
178,Screen
179,Screen
180,Screen
181,Screen
182,Screen
183,Screen
184,Screen
185,Screen
186,Tablet
187,Tablet
188,Tablet
189,Tablet
190,Tablet
191,Tablet
192,No where
193,Tablet
194,Tablet
195,Tablet
196,Tablet
197,Tablet
198,Tablet
199,Tablet
200,Tablet
201,Tablet
202,Tablet
203,Tablet
204,Tablet
205,Tablet
206,Tablet
207,Tablet
208,Tablet
209,Tablet
210,Tablet
211,Tablet
212,Tablet
213,Tablet
214,Tablet
215,Tablet
216,Tablet
217,Tablet
218,Tablet
219,Tablet
220,No where
221,Tablet
222,No where
223,Tablet
224,Tablet
225,Tablet
226,Tablet
227,Tablet
228,Tablet
229,Tablet
230,Tablet
231,Tablet
232,Tablet
233,Tablet
234,Tablet
235,Tablet
236,Tablet
237,Tablet
238,Tablet
239,Tablet
240,Tablet
241,Tablet
242,Tablet
243,Tablet
244,Tablet
245,Tablet
246,Tablet
247,Tablet
248,Tablet
249,Tablet
250,Tablet
251,Tablet
252,Tablet
253,Tablet
254,No where
255,Tablet
256,Tablet
257,Tablet
258,Tablet
259,Tablet
260,Tablet
261,Tablet
262,Tablet
263,Tablet
264,Tablet
265,Tablet
266,Tablet
267,Tablet
268,Tablet
269,No where
270,Tablet
271,Tablet
272,Tablet
273,Tablet
274,Tablet
275,Tablet
276,Tablet
277,Tablet
278,Tablet
279,Tablet
280,Tablet
281,Tablet
282,Tablet
283,Tablet
284,Tablet
285,Tablet
286,Tablet
287,Tablet
288,Tablet
289,Tablet
290,Tablet
291,Tablet
292,Tablet
293,Tablet
294,Tablet
295,Tablet
296,Tablet
297,Tablet
298,Tablet
299,Tablet
300,Tablet
301,Tablet
302,Tablet
303,Tablet
304,Tablet
305,Tablet
306,Tablet
307,Tablet
308,Tablet
309,Tablet
310,Tablet
311,Tablet
312,Tablet
313,Tablet
314,Tablet
315,Tablet
316,Tablet
317,Tablet
318,Tablet
319,Tablet
320,No where
321,Tablet
322,No where
323,No where
324,Tablet
325,No where
326,No where
327,Tablet
328,No where
329,No where
330,Tablet
331,Tablet
332,Tablet
333,Tablet
334,Tablet
335,Tablet
336,No where
337,No where
338,No where
339,Tablet
340,Tablet
341,Tablet
342,Tablet
343,Tablet
344,Tablet
345,Tablet
346,Tablet
347,Tablet
348,Tablet
349,Tablet
350,Tablet
351,Tablet
352,Tablet
353,Tablet
354,Tablet
